ContractID,InsuredName,Producer,Underwriter,Branch,ExpiringContract,Status,InceptionDate,ExpirationDate,Perils,LOB,Form,Currency,UDF1,UDF2,UDF3,UDF4,UDF5,LayerID,LayerPerils,LimitType,Limit1,LimitA,LimitB,LimitC,LimitD,Limit2,DedAmt1,DedAmt2,DedAmt3,DedAmt4,AttachmentAmt,AttachmentPtA,AttachmentPtB,AttachmentPtC,AttachmentPtD,DedType,Premium,AggregateLimitType,AggregateLimit,AggregateAttachmentPt,AggregateDedType,AggregateDedAmt,SublimitPerils,SublimitArea,SubLimitLimitType,SublimitDedType,SubLimitOcc,SublimitPart,SublimitAttachAmt,SublimitLimitA,SublimitLimitB,SublimitLimitC,SublimitLimitD,SublimitAttachA,SublimitAttachB,SublimitAttachC,SublimitAttachD,SublimitDedAmt1,SublimitDedAmt2,SublimitDedAmt3,SublimitDedAmt4,SublimitName,ParentSublimitName,SublimitAggregateLimitType,SublimitAggregateLimit,SublimitAggregateAttachmentPt,SublimitAggregateDedType,SublimitAggregateDedAmt
1255093,,,,,,A,2022-06-01,2023-05-31,11534403,GC1,Unknown,USD,,,,,,2353518,11534403,E,,,,,,,0,0,0,0,100000000,100000000,,,,N,,N,0,0,N,0,11534403,WST1,B,MI,500000000,0,0,500000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
1255093,,,,,,A,2022-06-01,2023-05-31,11534403,GC1,Unknown,USD,,,,,,2353518,11534403,E,,,,,,,0,0,0,0,100000000,100000000,,,,N,,N,0,0,N,0,11534403,AOL,B,MI,500000000,0,0,500000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
1255093,,,,,,A,2022-06-01,2023-05-31,11534403,GC1,Unknown,USD,,,,,,2353521,11534403,E,,,,,,,0,0,0,0,500000000,500000000,,,,N,,N,0,0,N,0,11534403,WST1,B,MI,750000000,0,0,750000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
1255093,,,,,,A,2022-06-01,2023-05-31,11534403,GC1,Unknown,USD,,,,,,2353521,11534403,E,,,,,,,0,0,0,0,500000000,500000000,,,,N,,N,0,0,N,0,11534403,AOL,B,MI,750000000,0,0,750000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
1254028,,,,,,A,2022-03-01,2023-02-28,11534403,GC1,Unknown,USD,,,,,,2350072,11534403,E,,,,,,,0,0,0,0,250000000,250000000,,,,N,,N,0,0,N,0,11534403,ZONE2,B,MI,850000000,0,0,850000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
1254028,,,,,,A,2022-03-01,2023-02-28,11534403,GC1,Unknown,USD,,,,,,2350072,11534403,E,,,,,,,0,0,0,0,250000000,250000000,,,,N,,N,0,0,N,0,11534403,ZONE1,B,MI,850000000,0,0,850000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
1254028,,,,,,A,2022-03-01,2023-02-28,11534403,GC1,Unknown,USD,,,,,,2350072,11534403,E,,,,,,,0,0,0,0,250000000,250000000,,,,N,,N,0,0,N,0,11534403,SPEC2,B,MI,850000000,0,0,850000000,1,0,0,0,0,0,0,1000000,0,0,0,,,N,0,0,N,0
1254028,,,,,,A,2022-03-01,2023-02-28,11534403,GC1,Unknown,USD,,,,,,2350072,11534403,E,,,,,,,0,0,0,0,250000000,250000000,,,,N,,N,0,0,N,0,11534403,SPEC,B,MI,850000000,0,0,850000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
1254028,,,,,,A,2022-03-01,2023-02-28,11534403,GC1,Unknown,USD,,,,,,2350072,11534403,E,,,,,,,0,0,0,0,250000000,250000000,,,,N,,N,0,0,N,0,11534403,OTHER,B,MI,850000000,0,0,850000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
1254031,,,,,,A,2021-12-31,2022-12-30,11534403,GC1,Unknown,USD,,,,,,2350079,11534403,E,,,,,,,500000,0,0,0,500000000,500000000,,,,MI,,N,0,0,N,0,11534403,TIER1,B,B,750000000,0,0,750000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
1254031,,,,,,A,2021-12-31,2022-12-30,11534403,GC1,Unknown,USD,,,,,,2350080,11534403,E,,,,,,,500000,0,0,0,750000000,750000000,,,,MI,,N,0,0,N,0,11534403,TIER1,B,B,1000000000,0,0,1000000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
1254031,,,,,,A,2021-12-31,2022-12-30,11534403,GC1,Unknown,USD,,,,,,2350081,11534403,E,,,,,,,500000,0,0,0,1000000000,1000000000,,,,MI,,N,0,0,N,0,11534403,TIER1,B,B,1200000000,0,0,1200000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
1254032,,,,,,A,2022-03-01,2023-02-28,11534403,GC1,Unknown,USD,,,,,,2350085,11534403,E,,,,,,,5000000,0,0,0,250000000,250000000,,,,MI,,N,0,0,N,0,11534403,ZONE 2,B,B,400000000,0,0,400000000,1,0,0,0,0,0,0,5000000,0,0,0,,,N,0,0,N,0
1254036,,,,,,A,2022-03-15,2023-03-14,11534403,GC1,Unknown,USD,,,,,,2350099,11534403,E,,,,,,,0,0,0,0,200000000,200000000,,,,N,,N,0,0,N,0,11534403,SPL LOCA,B,MI,700000000,0,0,700000000,1,0,0,0,0,0,0,25000000,0,0,0,,,N,0,0,N,0
