SummaryId,EPCalc,EPType,ReturnPeriod,Loss
1,1,2,71.428571,1459983.000000
1,1,2,66.666667,1451301.625000
1,1,2,62.500000,1443705.375000
1,1,2,58.823529,1426747.375000
1,1,2,55.555556,1411673.625000
1,1,2,52.631579,1398186.625000
1,1,2,50.000000,1378992.250000
1,1,2,47.619048,1361346.000000
1,1,2,45.454545,1345303.875000
1,1,2,43.478261,1330656.750000
1,1,2,41.666667,1311350.250000
1,1,2,40.000000,1293588.250000
1,1,2,38.461538,1277192.500000
1,1,2,37.037037,1262011.250000
1,1,2,35.714286,1247914.375000
1,1,2,34.482759,1229720.750000
1,1,2,33.333333,1212740.000000
1,1,2,32.258065,1196854.875000
1,1,2,31.250000,1181962.500000
1,1,2,30.303030,1167972.750000
1,1,2,29.411765,1154805.875000
1,1,2,28.571429,1142391.375000
1,1,2,27.777778,1130666.625000
1,1,2,27.027027,1115666.250000
1,1,2,26.315789,1101455.375000
1,1,2,25.641026,1087973.250000
1,1,2,25.000000,1075165.250000
1,1,2,24.390244,1062982.000000
1,1,2,23.809524,1051378.875000
1,1,2,23.255814,1040315.437500
1,1,2,22.727273,1029754.875000
1,1,2,22.222222,1019663.687500
1,1,2,21.739130,1010011.250000
1,1,2,21.276596,1000769.562500
1,1,2,20.833333,991912.937500
1,1,2,20.408163,983417.812500
1,1,2,20.000000,972369.562500
1,1,2,19.607843,961754.562500
1,1,2,19.230769,951547.812500
1,1,2,18.867925,941726.250000
1,1,2,18.518519,932268.437500
1,1,2,18.181818,923154.562500
1,1,2,17.857143,911867.187500
1,1,2,17.543860,900975.812500
1,1,2,17.241379,890460.000000
1,1,2,16.949153,880300.687500
1,1,2,16.666667,870480.000000
1,1,2,16.393443,860981.312500
1,1,2,16.129032,851789.062500
1,1,2,15.873016,842888.625000
1,1,2,15.625000,834266.312500
1,1,2,15.384615,825909.312500
1,1,2,15.151515,817805.562500
1,1,2,14.925373,809943.687500
1,1,2,14.705882,802313.062500
1,1,2,14.492754,794903.625000
1,1,2,14.285714,787705.875000
1,1,2,14.084507,780710.875000
1,1,2,13.888889,773910.187500
1,1,2,13.698630,767295.812500
1,1,2,13.513514,758969.062500
1,1,2,13.333333,750864.375000
1,1,2,13.157895,742972.937500
1,1,2,12.987013,735286.500000
1,1,2,12.820513,727797.125000
1,1,2,12.658228,720497.375000
1,1,2,12.500000,713380.125000
1,1,2,12.345679,706438.562500
1,1,2,12.195122,699666.312500
1,1,2,12.048193,693057.250000
1,1,2,11.904762,686605.562500
1,1,2,11.764706,680305.687500
1,1,2,11.627907,674152.312500
1,1,2,11.494253,668140.375000
1,1,2,11.363636,662265.125000
1,1,2,11.235955,656521.875000
1,1,2,11.111111,650906.250000
1,1,2,10.989011,645414.062500
1,1,2,10.869565,640041.250000
1,1,2,10.752688,634784.000000
1,1,2,10.638298,629638.625000
1,1,2,10.526316,624601.562500
1,1,2,10.416667,619669.437500
1,1,2,10.309278,614839.000000
1,1,2,10.204082,610107.125000
1,1,2,10.101010,605470.875000
1,1,2,10.000000,600927.312500
1,1,2,9.900990,596473.750000
1,1,2,9.803922,592107.500000
1,1,2,9.708738,587826.000000
1,1,2,9.615385,583626.875000
1,1,2,9.523810,579507.750000
1,1,2,9.433962,575466.312500
1,1,2,9.345794,571500.437500
1,1,2,9.259259,567608.000000
1,1,2,9.174312,563787.000000
1,1,2,9.090909,560035.437500
1,1,2,9.009009,556351.500000
1,1,2,8.928571,552733.312500
1,1,2,8.849558,549179.187500
1,1,2,8.771930,545687.375000
1,1,2,8.695652,542256.312500
1,1,2,8.620690,538884.437500
1,1,2,8.547009,535570.187500
1,1,2,8.474576,532312.125000
1,1,2,8.403361,529108.812500
1,1,2,8.333333,525958.875000
1,1,2,8.264463,522861.000000
1,1,2,8.196721,519813.906250
1,1,2,8.130081,516816.375000
1,1,2,8.064516,513867.187500
1,1,2,8.000000,510965.187500
1,1,2,7.936508,508109.250000
1,1,2,7.874016,505298.281250
1,1,2,7.812500,502531.218750
1,1,2,7.751938,499807.062500
1,1,2,7.692308,497124.812500
1,1,2,7.633588,494483.531250
1,1,2,7.575758,491882.250000
1,1,2,7.518797,489320.093750
1,1,2,7.462687,486796.187500
1,1,2,7.407407,484309.656250
1,1,2,7.352941,481859.687500
1,1,2,7.299270,479445.500000
1,1,2,7.246377,477066.312500
1,1,2,7.194245,474721.343750
1,1,2,7.142857,472409.875000
1,1,2,7.092199,470131.187500
1,1,2,7.042254,467884.593750
1,1,2,6.993007,465669.437500
1,1,2,6.944444,463485.031250
1,1,2,6.896552,461330.750000
1,1,2,6.849315,459206.000000
1,1,2,6.802721,457110.156250
1,1,2,6.756757,455042.625000
1,1,2,6.711409,453002.843750
1,1,2,6.666667,450990.250000
1,1,2,6.622517,449004.312500
1,1,2,6.578947,447044.531250
1,1,2,6.535948,445110.343750
1,1,2,6.493506,443201.281250
1,1,2,6.451613,441316.875000
1,1,2,6.410256,439456.625000
1,1,2,6.369427,437620.062500
1,1,2,6.329114,435806.750000
1,1,2,6.289308,434016.250000
1,1,2,6.250000,432248.125000
1,1,2,6.211180,430501.968750
1,1,2,6.172840,428777.375000
1,1,2,6.134969,427073.937500
1,1,2,6.097561,425391.281250
1,1,2,6.060606,423729.000000
1,1,2,6.024096,422086.750000
1,1,2,5.988024,420464.156250
1,1,2,5.952381,418860.906250
1,1,2,5.917160,417276.625000
1,1,2,5.882353,415710.968750
1,1,2,5.847953,414163.625000
1,1,2,5.813953,412634.281250
1,1,2,5.780347,411122.625000
1,1,2,5.747126,409628.343750
1,1,2,5.714286,408151.125000
1,1,2,5.681818,406690.687500
1,1,2,5.649718,405246.750000
1,1,2,5.617978,403819.062500
1,1,2,5.586592,402407.312500
1,1,2,5.555556,401011.250000
1,1,2,5.524862,399630.625000
1,1,2,5.494505,398265.156250
1,1,2,5.464481,396914.625000
1,1,2,5.434783,395578.750000
1,1,2,5.405405,394257.343750
1,1,2,5.376344,392950.125000
1,1,2,5.347594,391656.906250
1,1,2,5.319149,390377.437500
1,1,2,5.291005,389111.500000
1,1,2,5.263158,387858.906250
1,1,2,5.235602,386619.406250
1,1,2,5.208333,385392.812500
1,1,2,5.181347,384178.937500
1,1,2,5.154639,382977.593750
1,1,2,5.128205,381788.562500
1,1,2,5.102041,380611.656250
1,1,2,5.076142,379446.718750
1,1,2,5.050505,378293.531250
1,1,2,5.025126,377151.937500
1,1,2,5.000000,376021.750000
1,1,2,4.975124,374902.812500
1,1,2,4.950495,373794.968750
1,1,2,4.926108,372698.031250
1,1,2,4.901961,371611.843750
1,1,2,4.878049,370536.250000
1,1,2,4.854369,369471.093750
1,1,2,4.830918,368416.250000
1,1,2,4.807692,367371.531250
1,1,2,4.784689,366336.812500
1,1,2,4.761905,365311.937500
1,1,2,4.739336,364296.781250
1,1,2,4.716981,363291.218750
1,1,2,4.694836,362295.093750
1,1,2,4.672897,361308.281250
1,1,2,4.651163,360330.656250
1,1,2,4.629630,359362.062500
1,1,2,4.608295,358402.406250
1,1,2,4.587156,357451.562500
1,1,2,4.566210,356509.406250
1,1,2,4.545455,355575.812500
1,1,2,4.524887,354650.656250
1,1,2,4.504505,353733.843750
1,1,2,4.484305,352825.250000
1,1,2,4.464286,351924.750000
1,1,2,4.444444,351032.281250
1,1,2,4.424779,350147.687500
1,1,2,4.405286,349270.906250
1,1,2,4.385965,348401.812500
1,1,2,4.366812,347540.312500
1,1,2,4.347826,346686.281250
1,1,2,4.329004,345839.656250
1,1,2,4.310345,345000.343750
1,1,2,4.291845,344168.218750
1,1,2,4.273504,343343.218750
1,1,2,4.255319,342525.218750
1,1,2,4.237288,341714.156250
1,1,2,4.219409,340909.937500
1,1,2,4.201681,340112.468750
1,1,2,4.184100,339321.687500
1,1,2,4.166667,338537.500000
1,1,2,4.149378,337759.812500
1,1,2,4.132231,336988.562500
1,1,2,4.115226,336223.656250
1,1,2,4.098361,335465.031250
1,1,2,4.081633,334712.593750
1,1,2,4.065041,333966.281250
1,1,2,4.048583,333226.000000
1,1,2,4.032258,332491.687500
1,1,2,4.016064,331763.281250
