EventId,SummaryId,SampleType,EventRate,ChanceOfLoss,MeanLoss,SDLoss,MaxLoss,FootprintExposure,MeanImpactedExposure,MaxImpactedExposure
48,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
48,1,2,0.001000,1.000000,156109.593750,151843.937500,1470000.000000,1470000.000000,1470000.000000,1470000.000000
51,1,1,0.001000,0.000000,720300.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
51,1,2,0.001000,1.000000,704864.312500,299457.687500,1470000.000000,1470000.000000,1470000.000000,1470000.000000
64,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
64,1,2,0.001000,0.800000,160414.218750,233253.406250,1470000.000000,1470000.000000,1176000.000000,1470000.000000
66,1,1,0.001000,0.000000,867300.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
66,1,2,0.001000,1.000000,896346.625000,293607.093750,1470000.000000,1470000.000000,1470000.000000,1470000.000000
72,1,1,0.001000,0.000000,291060.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
72,1,2,0.001000,1.000000,272201.937500,229731.343750,1470000.000000,1470000.000000,1470000.000000,1470000.000000
74,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
74,1,2,0.001000,1.000000,155845.234375,171627.468750,1470000.000000,1470000.000000,1470000.000000,1470000.000000
75,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
75,1,2,0.001000,0.900000,143150.968750,194421.578125,1470000.000000,1470000.000000,1323000.000000,1470000.000000
76,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
76,1,2,0.001000,1.000000,140122.031250,108987.101562,1470000.000000,1470000.000000,1470000.000000,1470000.000000
78,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
78,1,2,0.001000,0.700000,145664.359375,240549.531250,1470000.000000,1470000.000000,1029000.000000,1470000.000000
79,1,1,0.001000,0.000000,291060.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
79,1,2,0.001000,1.000000,327692.812500,214736.046875,1470000.000000,1470000.000000,1470000.000000,1470000.000000
84,1,1,0.001000,0.000000,291060.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
84,1,2,0.001000,1.000000,240759.125000,151618.718750,1470000.000000,1470000.000000,1470000.000000,1470000.000000
85,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
85,1,2,0.001000,0.900000,174706.109375,188954.578125,1470000.000000,1470000.000000,1323000.000000,1470000.000000
